https://item.jd.com/100002967883.html,"['京鲜生金枕头榴莲', '100002967883', '2.25kg', '泰国、越南', '金枕头', '鲜榴莲', '1501-2000g', '控温', '进口']"
j***2,star5,一共三个   两个微微裂痕   放了两天全部熟透了   榴莲非常甜   很好吃   唯一的缺点就是果型不太好 出肉率不高   但是味道确实不错
j***f,star5,买的第二天就回家上次买的是干尧榴莲，这次买的是金枕，收到三个，都熟透了，出肉率不能算很高，但也有四房。肉质香甜，总体还是很好的。
u***9,star5,买了两个榴莲，都是薄皮多肉，开出来的肉真的可以，比我在实体店买的还好，图片是一个榴莲开出来的肉，一次吃不完，买回来放了三天，刚刚好，
j***x,star5,三个果形都很好，图片这个是干包，送了了一个果形很好的给朋友也说很好吃?昨天开了最后一个湿包熟的刚刚好??每个都五房
丝***红,star5,在京东买了好几次榴莲了，都非常满意?，京东的物流也很不错的，满满五方肉，口感非常好，包装完好无损，快递员的服务也很好的，喜欢吃榴莲的尽管下单哦！
超***贝,star5,超级超级软甜糯，这是在京东买的第二个榴莲了，一次比一次好吃，好吃到无法形容，核小肉多，一直想买但是一直都没有货，6/29号下单7/2号就到了，我儿子和我最爱吃榴莲啦，在超市买的都没有这么好吃的榴莲，吃完继续买。
b***n,star5,一直想在京东买榴莲试试，看618活动力度大果断入手一件，榴莲质量真的没话说，感觉就是来报恩的，40%以上的出肉率，并且下单14斤送来15斤，真的超值，超级推荐。
j***l,star5,想买的别犹豫哇！没有廉价的感觉，很高端，特别棒！?看起来还不错，包装的很仔细，价格也非常公道，还会继续买买买！?是正品，和实体店一样，价格还优惠，果断转粉物流很快，质感很好，很漂亮，很喜欢?质量很好，买的很合我心意?，棒棒哒！?需要的亲们可以放心购买精挑细选很久?，最后决定买这一款?，到货后果然没有让我失望，实物很漂亮?，做工很精细?，特别满意?在这里选购安全方便快捷?，快递小哥态度非常好，这个价格非常给力?，十分推荐，会继续回购?宝贝收到了，很惊喜?，设计合理，时尚大方，继续关注，以后会回购的????宝贝收到了，很惊喜?，设计合理，时尚大方，继续关注，以后会回购的????非常漂亮，做工精细，颜值担当，非常方便，?喜欢的朋友可以下手！真的好喜欢，客服态度也挺好的，值！以后有需要还会来买
s***e,star5,大家不用刻意关注份量的问题纠结，都会比文案里的介绍更重一些。京东购买的榴莲算是报**的吧，出肉率确实很高，核儿也特别的小，口感自然不用多形容。
5***m,star5,先期开了一个看起来比较成熟的，完全符合预期，和原来买的一样，全房饱满，爆出来的那种饱满，成熟度也不错，榴莲特有的香气满满。手气不错啊！好！很好！
婷***啦,star5,收到货打开果型不好还以为是歪瓜裂枣，没想到打开出乎我的意料，果皮比较薄，肉很多 ，出肉率很高，中间那个瘪瘪的出来1.6斤肉，籽也比较小，生下来开出来出肉率也很高，平均在40%左右，很满意
y***o,star5,物流很快，泸定这边第二天也就到了。到时榴莲确实很差，全部生包死包还有烂了的。不过自营售后确实很好，客服人也很好，售后上传图片后钱全部都退了
j***d,star5,我又来回购了，618的时候买过一次，三个出肉率都不错，平均40%左右这次趁着299的活动又买了，第一个熟的果型很完美，出肉率48%，期待下面的会更好
j***j,star5,特别好的一次开盲盒，大的10斤开了榴莲肉很棒，小的不太好，死包没味道还软硬不均匀，放在售后不错，处理满意，过段时间再来买一单
v***q,star5,早晨下单买的榴莲下午就到了，发货速度很快。价格也比较实惠，不到一百块钱好大一个榴莲，份量很足，很满意的一次购物，吃完还会回购的。
x***8,star5,非常不错，总共送来三个刚刚来的时候感觉还是生的没敢动放在阳光下，过了三天自动爆开爆开以后我们剥壳壳很薄肉，很多很多很甜很香，所以这次性价比非常非常高，下次希望京东这种优惠活动多多推出。
q***8,star3,买榴莲真的靠运气
f***o,star5,果型很好，评A果不为过。在楼下买的从来没这么好的果型！外皮已经黄色，熟了，而且香气扑鼻，溢满整个房间。LP大人说开吃！这个榴莲放不住了，今天必须吃完了！全家一块，不要吃相，手抓榴莲开吃！优惠不少，合算！
j***y,star5,开心的购物体验！干包金枕口感很好！果型很棒出肉率很高！价格比本地实体店便宜，真心满意！爱上京东购物，连续两年买了京东会员卡优惠多多喜悦感滿满！
洗***用,star5,很棒的榴莲，拆出来很好吃，成熟度高，甜味足，分量充足，入口香滑。京东品质，值得信赖，进口榴莲品质确实很好，送货速度快也能保证榴莲新鲜度。
狐***泪,star5,这次购买的榴莲真的无敌了，外观完美，非常不错，期待味道，如果好的话真的就是中奖的感觉了。非常不错，这一批次的很完美，给个大赞。
j***8,star5,给我送了3个小榴莲，总体肉很饱满，真的小榴莲出肉率高，不错，哈哈哈，朋友都说我天天在吃榴莲，什么家庭，一天开一个，得到快乐
N***8,star5,京东自营的榴莲已经回购多次了，这次买的盲盒有三个果，其中有一个歪瓜裂枣的是死包，京东售后服务理赔很快很满意！对于一个榴莲爱好者，最喜欢他们家的榴莲了非常香榴莲肉很糯！会继续回购的??
小***-,star5,真的 太棒了，没买之前，一直犹豫，就怕买到不好的，结果真的太好了！超级报恩！！非常好非常好吃！太绝了！皮薄 核小干包 甜糯！真的太爱了！妥妥的榴莲自由！
j***6,star5,活动价入手二百六七，收到大小三个，最小的一个熟了，1900克，出肉885克，外形不好，皮薄核小出肉还可以，果肉品质很好，好吃好吃，一次全部吃完，后边的两个希望也好。
j***0,star5,京东的榴莲买过一次非常棒，这次又回购了，总共16斤，品质还是不错的，有一个最大的开出来不好也马上售后解决了，家里大人小孩都很喜欢吃
p***o,star5,收到4个榴莲，总共**00g，拆了一个果型最好的，是个五房的，两房小肉肉，三房胖嘟嘟的。味道很不错，一个开口比较严重的，剩下的还没开口，整体来说还是很满意的
人***_,star5,榴莲型很好 足足五房肉 软糯香甜 出肉率高 一斤半肉  好看还好吃 对于吃货 真是过瘾  配送快速  服务一流  。。。
y***2,star5,第一次在京东买榴莲，忐忑的心里，没想到收货很大一个，软硬度已经刚好了，开盲盒也很是成功，个个大块头，味道不要太好啦，会回购！
j***3,star5,包装非常仔细，发货速度很快，没有拖延，收到货后是三个，一个大的两个小的，大的果很正，小的一般，还没完全熟，需要再放几天。
j***c,star5,一共三个榴莲，刚开始开了两个，熟透了，还有一个没熟，第二天开了，熟的刚刚好，这不得不夸京东的售后，真的很好，马上就给我不好的榴莲售后了，不是第一次买了，体验感很好
船***烦,star5,这次的榴莲果型超级棒，只有一个没什么味道白生生的，客服给售后了，剩下的两个都挺好，特别是最大的6斤，开出来两斤半的肉，而且咬开是我喜欢吃的软糯糯。又下了一单，期待明天收到的！！！
海***0,star5,京东物流，速度确实是快，昨天晚上下单，今天早晨就收到了。包装很严密，先买了一盒尝尝鲜，搞了个物流快递的大箱子，里面装了冰袋，不容易啊。味道要比金枕好得多，酥软、香甜，香味也浓厚，猫山王，确实要比其他品种好，下一步继续回购。
乐***妮,star5,超级棒的购物体验，一次发过来3个榴莲。熟度刚刚好。一天来一个。家人都喜欢。性价比很高，开出来的肉也很多，果核很小。推荐购买
小***啦,star5,整体来说都不错的，送过来15斤。都很青，好像是越南榴莲，捏刺捏不动，味道不大，两个微微开了一条小缝，晃动果肉分离，打开来湿包了，还有一个最大的没有开，没有熟。味道不错的，核也不大，很糯，很好吃，会回购。
